تعتبر نقابة المهندسين هيئة .......... للدولة فى مجال تخصصها,تشريعة.,اقتصادية.,ثقافية.,إستشارية. ,4
يجوز للمهندس أن يتظلم من القرار الذى يصدر برفض قيده الي مجلس النقابه وذلك خلال ............. من تاريخ إعلانه.,30 يوما. ,25 يوما.,20 يوما.,15 يوما.,1
يعلن مجلس النقابة عن مواعيد فتح باب الترشح للمجالس النقابية الخالية على كافة المستويات وغلقها ومواعيد الانتخابات فى جريدتين ..........,يوميتين. ,شهريتين.,سنويتين.,أسبوعيتين.,1
يرد مبلغ التأمين للعضو اذا حصل على نسبة .......... على الأقل من أصوات الناخبين,25%.,20%.,15%.,10%. ,4
تبدأ عملية الانتخابات فى تمام الساعة ........ صباحا وتستمر حتى الساعة .......... مساء من اليوم المحدد,"التاسعة , الخامسة.","العاشرة , الخامسة. ","العاشرة , الرابعة.","التاسعة , الرابعة.",2
تلغي بطاقة الانتخاب اذا انتخب عددا ......... عن العدد المطلوب,يزيد.,يقل.,الأول والثاني معا. ,ليس ايا مما سبق.,3
مدة العضوية فى مجالس التنظيمات النقابية .........,أربع سنوات. ,ثلاث سنوات.,سنتين.,خمس سنوات.,1
يؤلف مجلس النقابة من النقيب وعدد لا يقل عن ....... ولا يزيد عن ........ عضوا من المقيدين,"خمسة وأربعين , اثنين وستين. ","خمسة وأربعين , أربعة وستين.","ستة وأربعين , أربعة وستين.","ستة وأربعين , اثنين وستين.",1
يجرى إنتخاب النقيب بـ ............ بالأغلبية المطلقة للأصوات الصحيحة,إنتخابات عمومية.,الإقتراع الجهري.,إنتخابات سريه.,الإقتراع السرى. ,4
يتكون مجلس النقابة من ...........,68 عضو. ,50 عضو.,86 عضو.,75 عضو.,1
يجوز بقرار من مجلس النقابة إسقاط عضوية المجلس عمن يتغيب من أعضائه عن جلساته .........,ثلاث مرات متتالية أو خمس مرات طوال العام دون أعذار يقبلها المجلس. ,مرتين متتاليتين أو أربع مرات طوال العام دون أعذار يقبلها المجلس.,أربع مرات متتالية أو خمس مرات طوال العام دون أعذار يقبلها المجلس.,خمس مرات متتالية أو ست مرات طوال العام دون أعذار يقبلها المجلس.,1
تبدأ السنة الماليه للنقابة فى أول .......... وتنتهي فى أخر .......... من كل عام,"يناير , ديسمبر. ","أغسطس , سبتمبر.","يوليو , يونيو.","فبراير , يناير.",1
يكون الصرف من أموال النقابة بتوقيع ......... من أعضاء هيئة المكتب على أن يكون أحد هذه التوقيعات أمين الصندوق أو أمين الصندوق المساعد .,أربعة.,ثلاثة.,خمسة.,إثنين. ,4
