________  هو ما يعطي للعامل لقاء ظروف او مخاطر معينه في اداء عمله .,البدل ,العموله,العلاوات,1,
________  هي التي يحصل عليها العامل اذا جرت العاده بدفعها وكانت لها قواعد تسمح بتحديدها وتعتبر في حكم الوهبه النسبه المئويه التي يدفعها العملاء مقابل الخدمه في المنشآت السياحيه  .,البدل,المنح,الوهبه ,3,
"________  هو العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط وتقتضي طبيعه انجازه مده محدده , او ينصب علي عمل بذاته وينتهي بانتهائه .",العمل الرسمي,العمل المؤقت ,العمل العرضي,2,
________  هو العمل الذي يدخل بطبيعته فيما يزاوله صاحب العمل من نشاط ولا يستغرق انجازه اكثر من سته اشهر .,العمل الرسمي,العمل المؤقت,العمل العرضي ,3,
________  هو العمل الذي يتم في مواسم دوريه متعارف عليها .,العمل الرسمي ,العمل المؤقت,العمل العرضي,1,
الليل هو الفتره بين غروب الشمس وشروقها .,عباره صحيحه  ,عباره خاطئه,1,,
الوزير المختص هو الوزير المختص بالقوي العامله .,عباره صحيحه ,عباره خاطئه,1,,
الوزاره المختصه هي الوزاره المختصه بشئون القوي العامله.,عباره صحيحه ,عباره خاطئه,1,,
لا تسري احكام هذا القانون علي : ___________ .,عمال الخدمه المنزليه ومن في حكمهم,افراد اسره صاحب العمل الذي يعولهم فعلا,العاملين في اجهزه الدوله بما في ذالك وحدات الاداره المحليه والهيئات العامل,جميع ما سبق ,4
من اختصاصات لجنة التخطيط واستخدام القوي العامله في الداخل,رسم السياسه العامه لاستخدام العماله المصرية,وضع النظم والقواعد والاجرءات اللازمه,كلاهما صحيح ,3,
يجوز تشغيل اي عامل حتي اذا لم يكن حاصل علي شهادة,الاجابة صحيحة,الاجابة حاطئة ,2,,
علي صاحب العمل ان يرسل الي الجهة المختصة  بتشفيل القوي العامله خلال شهر يناير من كل عام,ما طرأ من تعديلات علي البيانات الخاصه بالعمال,عدد الوظائف الشاغره بسبب الاحلال والتوسعيات الجديده,بيان بتقدير الاحتياجات المطلوبه,جميع ما سبق ,4
من شروط الحصول على الترخيص ألا يقل رأس مال الشركة عن ........ وأن يكون مملوكاً بأكمله لمصريين.,50 ألف جنية,100 ألف جنية ,200 ألف جنية,2,
