‬ﻋﻠم ﯾﮭﺗم ﺑدراﺳﺔ اﻟﺳﻠوك اﻹﻧﺳﺎﻧﻰ ﻛﻌﻼﻗﺔ ﺑﯾن اﻟﻐﺎﯾﺎت واﻟﻣوارد اﻟﻧﺎدرة ذات اﻻﺳﺗﻌﻣﺎﻻت ھو‪............‬‬,‫ ﻋﻠم اﻻﻗﺗﺻﺎد‬‫  ‬,‫ ﻋﻠم اﻹﺟﺗﻣﺎع‬‫‪‬‬,‫ﻋﻠم اﻟﻧﻔس‬ ‫‪‬‬,‫ﻋﻠم اﻟﻔﯾزﯾﺎء‬‫‪‬‬,1
اﻟﺗﻌرﯾف اﻷﻋم واﻷﺷﻣل ﻟﺧﺻﺎﺋص اﻻﻗﺗﺻﺎد اﻟﺣدﯾث اﻟﻣﻌﺎﺻر ھو ﺗﻌرﯾف‪....... ‬ ﻓﻰ ﻣﻘﺎﻟﺔ ﻧﺷرھﺎ ﻋﺎم ‪1932,‫ ﺟوزﯾف ﺷوﻣﺑﯾﺗر‬‫‪‬‬,‫ ﻟﯾوﻧﯾل روﺑﻧز‬ ‫  ‬,‫ ﺟون ﻣﯾﻧﺎرد ﻛﯾﻧز‬‫‪‬‬,‫آدم ﺳﻣﯾث‬‫‪‬‬,2
اﻻﻗﺗﺻﺎد ھو ﻓرع ﻣن ﻓروع اﻟﻌﻠوم ‪.........‬‬,‫ اﻟﺳﯾﺎﺳﯾﺔ‬‫‪‬‬,‫ اﻟﮭﻧدﺳﯾﺔ‬‫‪‬‬,‫ اﻟطﺑﯾﻌﯾﺔ‬‫‪‬‬,‫اﻹﺟﺗﻣﺎﻋﯾﺔ‬ ‫  ‬,4
اﻻﻗﺗﺻﺎد ﻋﻠم ﯾﮭﺗم ﺑدراﺳﺔ ‪.........‬‬,‫ﻋﻣﻠﯾﺔ إﻧﺗﺎج اﻟﺳﻠﻊ واﻟﺧدﻣﺎت‬ ‫‪‬‬,‫ﺗوزﯾﻊ واﺳﺗﮭﻼك اﻟﺳﻠﻊ واﻟﺧدﻣﺎت‬ ‫‪‬‬,‫ﻛﻼھﻣﺎ ﻣﻌﺎ‬ ‫  ‬,3
اﻟﻧدرة ﺗﻌﻧﻰ ﻋدم ﻛﻔﺎﯾﺔ اﻟﻣوارد اﻟﻣﺗﺎﺣﺔ ﻹﺷﺑﺎع ﺟﻣﯾﻊ اﻹﺣﺗﯾﺎﺟﺎت واﻟرﻏﺑﺔ اﻹﻧﺳﺎﻧﯾﺔ ‪.‬‬,‫اﻟﻌﺑﺎرة ﺻﺣﯾﺣﺔ‬‫  ‬,‫اﻟﻌﺑﺎرة ﺧﺎطﺋﺔ‬ ‫‪‬‬,1
ﻏﺎﻟﺑﺎ ﻣﺎ ﯾﺷﺎر إﻟﻰ اﻟﻧدرة ﺑﺄﻧﮭﺎ ‪.......‬‬,‫اﻟرﺑﺢ اﻻﻗﺗﺻﺎدى‬ ‫‪‬‬,‫ اﻟﻣﺷﻛﻠﺔ اﻹﻗﺗﺻﺎدﯾﺔ‬‫  ‬,‫ اﻟﻣﺣﻔزات‬ ‫‪‬‬,2
أﺣد اﻟﻣﺑﺎدئ اﻟرﺋﯾﺳﯾﺔ اﻟﺗﻰ ﯾﻘوم ﻋﻠﯾﮭﺎ ﻋﻠم اﻻﻗﺗﺻﺎد ھﻰ ‪.........‬‬,‫ﻧظرﯾﺔ ﺗﻛﻠﻔﺔ اﻟﻔرﺻﺔ‬‫  ‬,‫ﻧظرﯾﺔ اﻻﻗﺗﺻﺎد اﻟﻛﯾﻧزى‬ ‫‪‬‬,‫ﻧظرﯾﺔ اﻟﻣﺳﺗﮭﻠك‬‫‪‬‬,1
ﯾﻣﻛن ﺗﺻﻧﯾف اﻟﻣﺟﺎﻻت اﻟﺗﻰ ﯾﺑﺣث ﻓﯾﮭﺎ ﻋﻠم اﻻﻗﺗﺻﺎد ﺑﺷﻛل ﻣﺗﻧوع وﻣﺗﻌدد إﻻ أﻧﮫ ﺑﺷﻛل أﺳﺎﺳﻰ ﯾﮭﺗم ﺑﻧوﻋﯾن ﻣن‬ اﻟﺗﺣﻠﯾل اﻻﻗﺗﺻﺎدى ھﻣﺎ‪..........‬‬,‫ اﻟﺟزﺋﻰ و اﻟﻛﻠﻰ‬‫  ‬,‫اﻟرﯾﺎﺿﻰ واﻟﻘﯾﺎﺳﻰ‬‫‪‬‬,‫اﻟﺷﻣوﻟﻰ واﻟﻛﻧزى‬‫‪‬‬,1
أﺣد ﻓروع اﻻﻗﺗﺻﺎد ﯾﮭﺗم ﺑﺗﺣﻠﯾل ودراﺳﺔ ﺗﺻرﻓﺎت اﻟﻣﺳﺗﮭﻠك واﻟﺷرﻛﺔ ﻓﻰ ظل ﻛﻣﯾﺔ اﻟﻣوارد اﻟﻣﺣدودة ﻓﻰ اﻟﻌﺎﻟم وذﻟك‬ ﻟﮭدف ﻓﮭم ﻋﻣﻠﯾﺔ ﺻﻧﺎﻋﺔ اﻟﻘرار ﻟدﯾﮭم ھو اﻻﻗﺗﺻﺎد‪.......‬‬,‫ اﻟﻛﻠﻰ‬ ‫‪‬‬,‫اﻟﻣﻌﯾﺎرى‬ ‫‪‬‬,‫ اﻟﺟزﺋﻰ‬‫  ‬,‫اﻟﺗﺟرﯾﺑﻰ‬ ‫‪‬‬,3
ﯾرﻛز اﻻﻗﺗﺻﺎد اﻟﺟزﺋﻰ ﻋﻠﻰ ‪..........‬‬,‫ اﻟﺗوازن‬ ‫‪‬‬,‫ اﻟﻣروﻧﺔ وﺷﻔﺎﻓﯾﺔ اﻟﺳوق‬ ‫‪‬‬,‫ ﻧظرﯾﺔ اﻟﻌرض واﻟطﻠب‬‫‪‬‬,‫ﺟﻣﯾﻊ ﻣﺎ ﺳﺑق‬‫  ‬,4
